por	pob
O modo de aquentar as purgas , he mettendo o vaso, que a tiver , dentro de hum taxo de agoa fria ; e pondo-se ao lume, se estará mechendo em quanto se aquenta .	O modo de aquentar as purgas, é metendo o vaso, que a tiver, dentro de um taxo de água fria; e pondo-se ao lume, se estará mexendo enquanto se aquenta.
1 . Como por sentença de Cicero ( 1 . ) nascem os homens naõ só para si , mas para a sua patria , para os seus parentes , & para os seus amigos ; por esta razão me pareceo naõ só justo , mas preciso escrever  para os presentes , & vindouros algumas cousas raras , que na Medicina succedem ; por tanto os amadores do bem cõmum ouçaõ os successos seguintes , que me passaraõ pelas mãos , & espero lhes naõ seja pouco proveitoso o sabellos .	1. Como por sentença de Cícero (1. ) nascem os homens não só para si, mas para a sua pátria, para os seus parentes, e para os seus amigos; por esta razão me pareceu não só justo, mas preciso escrever para os presentes, e vindouros algumas cousas raras, que na Medicina sucedem; por tanto os amadores do bem comum ouçam os sucessos seguintes, que me passaram pelas mãos, e espero lhes não seja pouco proveitoso o sabê-los.
Huma das cousas que Galeno , ( 1 . ) & outros Authores encomendaõ muito , & que he muito necessaria para curar as febres , he que os doentes esstejaõ em casas grandes , & frescas por natureza , ou por artificio , & que tenhaõ janelas ; porque se forem pequenas , quentes , ou abafadiças , necessariamente o ar das taes casas ha de ser quente , & incapaz para temperar o incendio do coraçaõ , & para se gerarem delle novos espiritos : & faltando qualquer soccorro destes aos febricitantes , infallivelmente perigaraõ , nem as febres se tiraraõ , sem que tirem primeiro a vida .	Uma das coisas que Galeno, (1. ) e outros Autores encomendam muito, e que é muito necessária para curar as febres, é que os doentes estejam em casas grandes, e frescas por natureza, ou por artificio, e que tenham janelas; porque se forem pequenas, quentes, ou abafadiças, necessariamente o ar das tais casas há de ser quente, e incapaz para temperar o incêndio do coração, e para se gerarem dele novos espíritos: e faltando qualquer socorro destes aos febricitantes, infalivelmente perigarão, nem as febres se tirarão, sem que tirem primeiro a vida.
Se acaso houver motivo mais urgente, v. g. esquinencia , pleuriz , ou outra queixa , que promptamente necessite de sangria , ou haja receyo de lhe entrar logo o crescimento , ou terçã , se lhe fará primeiro a sangria ao enfermo ; e passada meya hora , se lhe lançará a ajuda , e depois de ter obrado com ella , se lhe dará o cordial , logo se lhe fará a untura , e se lhe applicará o defensivo ; e passada meya hora , se lhe dará de comer .	Se acaso houver motivo mais urgente, v. g. esquinência, pleuris, ou outra queixa, que prontamente necessite de sangria, ou haja receio de lhe entrar logo o crescimento, ou terçã, se lhe fará primeiro a sangria ao enfermo; e passada meia hora, se lhe lançará a ajuda, e depois de ter obrado com ela, se lhe dará o cordial, logo se lhe fará a untura, e se lhe aplicará o defensivo; e passada meia hora, se lhe dará de comer.
A hora mais propria para dar agoa a hum enfermo , he na declinaçaõ da febre , ou seja de terçã , ou de outra qualquer qualidade .	A hora mais própria para dar água a um enfermo, é na declinação da febre, ou seja de terçã, ou de outra qualquer qualidade.
CAPITULO XXII.	CAPÍTULO XXII.
CAPITULO VIII .	CAPÍTULO VIII.
Sustentar-se-haõ estas evacuações por meio das mezinhas , e purgando hum dia sim outro naõ com o remedio do N. 14.	Sustentar-se-ão estas evacuações por meio das mesinhas, e purgando um dia sim outro não com o remédio do N. 14.
Se pelo contrario a doença estiver muito adiantada , se os doentes forem fracos , e idosos , se tiverem sido muito sangrados , finalmente se o pulso fór fraco , e pequeno , entaõ naõ se deve recorrer a novas sangrias ; mas fim contentar-se cada hum de os fazer tomar bebidas quentes , e em abundancia , dando-lhe por muitas vezes pouco mais de huma colher do lambedôr N. 7. , a que se ajuntaraõ dous grãos de Kermes mineral : deve-se applicar ao mesmo tempo ás barrigas das pernas hum emplastro de cantharidas da largura da palma da maõ .	Se pelo contrário a doença estiver muito adiantada, se os doentes forem fracos, e idosos, se tiverem sido muito sangrados, finalmente se o pulso for fraco, e pequeno, então não se deve recorrer a novas sangrias; mas sim contentar-se cada um de os fazer tomar bebidas quentes, e em abundância, dando-lhe por muitas vezes pouco mais de uma colher do lambedor N. 7., a que se ajuntarão dos grãos de Kermes mineral: deve-se aplicar ao mesmo tempo às barrigas das pernas um emplastro de cantarias da largura da palma da mão.
Das Febres podres , e remittentes .	Das Febres podres, e remitentes.
Algumas vezes tem os doentes desejos de vomitar , e vomitaõ mesmo espontaneamente ; tem sede , amarga-lhe a bocca , sua lingua he saburrosa , tema pelle secca , e ourinaõ muito pouco .	Algumas vezes tem os doentes desejos de vomitar, e vomitam mesmo espontaneamente; tem sede, amarga-lhe a boca, sua língua é saburrosa, tem a pele seca, e urinam muito pouco.
Confesso que naõ pude achar desculpa a este Medico , pois via que a doença se augmentava ao compasso que as sangrias se repetiaõ , & devia lembrarse que Galeno ( 3 . ) aconselha que os remédios  se devem seguir , ou suspender, conforme o proveito , ou damno que fazem ; & sendo isto assim , parecia cegueira do entendimento abraçar tanto as sangrias , & abominar com tal excesso purgas .	Confesso que não pude achar desculpa a este Médico, pois via que a doença se aumentava ao compasso que as sangrias se repetiam, e devia lembrar-se que Galeno (3. aconselha que os remédios se devem seguir, ou suspender, conforme o proveito, ou dano que fazem; e sendo isto assim, parecia cegueira do entendimento abraçar tanto as sangrias, e abominar com tal excesso purgas.
Algumas vezes do decurso , ou continuaçaõ das febres maligmas sobrevém huma diarrhéa , que esgota , e enfraquece os doentes em lugar de os alliviar ; neste estado elles tem a pelle aspera , e secca , o pulso pequeno , e concentrado ; entaõ he conveniente moderar esta evacuaçaõ , e procurar aos doentes huma transpiraçaõ saudavel : algumas vezes se chega a conseguir isto pelo uso do bolo do N. 25. , e da bebida do N. 26.	Algumas vezes do decurso, ou continuação das febres malignas sobrevém uma diarreia, que esgota, e enfraquece os doentes em lugar de os aliviar; neste estado eles tem a pele áspera, e seca, o pulso pequeno, e concentrado; então é conveniente moderar esta evacuação, e procurar aos doentes uma transpiração saudável: algumas vezes se chega a conseguir isto pelo uso do bolo do N. 25., e da bebida do N. 26.
He verdade , que todos os symptomas que caracterizaõ aquellas primeras , e que eu tenho examinado miudamente , se naõ encontraõ todos juntos , e todos ao mesmo tempo em todos os doentes : mas basta , que haja hum certo numero delles ; he precizo pois tratar de os combinar com prudencia , para cada hum se naõ enganar .	É verdade, que todos os sintomas que caracterizam aquelas primeiras, e que eu tenho examinado miudamente, se não encontram todos juntos, e todos ao mesmo tempo em todos os doentes: mas basta, que haja um certo número deles; é preciso pois tratar de os combinar com prudência, para cada um se não enganar.
No fim de Julho de 1668 , me chamaraõ para curar ao Padre Alvaro Ferreira , morador ao Remolares : avia muitos dias que este Sacerdote padecia hũa febre terçãa continua taõ ardente , & pertinaz , que tinha zombado dos remedios mais efficazes, que inventou o engenho dos homens , & como eu visse a obstinaçaõ da febre , & que a nenhuma diligencia obedecia , comecei a discursar qual seria a causa de taõ porfiada resistencia , & vim a entender , que como o aposento , em que o doente estava , era pequeno , & naõ tinha mais que huma janella sem correspondencia de outra por onde entrasse , e sahisse o ar necessario para refrigerio do coraçaõ , & como juntamente soubesse , que debaixo da cama do enfermo estava hum forno de pasteleiro , facilmente entendi que todas estas cousas concorriaõ para que a febre perseverasse , & o doente naõ tivesse melhoria ; pois o ar , que o enfermo respirava , era taõ quente , que parecia fogo , quando ( a respeito da febre ) devia ser mais frio , que o de que necessitaõ os que tem saude .	No fim de Julho de 1668, me chamaram para curar ao Padre Alvaro Ferreira, morador ao Remolares: havia muitos dias que este Sacerdote padecia uma febre terçã continua tão ardente, e pertinaz, que tinha zombado dos remédios mais eficazes, que inventou o engenho dos homens, e como eu visse a obstinação da febre, e que a nenhuma diligência obedecia, comecei a discursar qual seria a causa de tão porfiada resistência, e vim a entender, que como o aposento, em que o doente estava, era pequeno, e não tinha mais que uma janela sem correspondência de outra por onde entrasse, e saísse o ar necessário para refrigério do coração, e como juntamente soubesse, que debaixo da cama do enfermo estava um forno de pasteleiro, facilmente entendi que todas estas coisas concorriam para que a febre perseverasse, e o doente não tivesse melhoria; pois o ar, que o enfermo respirava, era tão quente, que parecia fogo, quando (a respeito da febre) devia ser mais frio, que o de que necessitam os que tem saúde.
Depois do segundo , ou do terceiro dia saz-se-haõ vomitar com o remedio do N. 11. , se houver diarrhéa , ou com o do N. 21. , se naõ houver diarrhéa .	Depois do segundo, ou do terceiro dia far-se-ão vomitar com o remédio do N. 11., se houver diarreia, ou com o do N. 21., se não houver diarreia.
Minderero fallando sobre as virtudes destes oleos diz o seguinte :  Naõ ha podridaõ de humores , que naõ obedeça à virtude destes oleos , nem humores tao depravados , & corruptos , que se naõ rendaõ à efficacia deste medicamento , & com toda a confiança poderei dizer ,  que se me prohibissem o uso destes oleos ,  me naõ atreveria a curar as febres malignas , & pestilentes .	Minderero falando sobre as virtudes destes óleos diz o seguinte: Não há podridão de humores, que não obedeça à virtude destes óleos, nem humores tao depravados, e corruptos, que se não rendam à eficácia deste medicamento, e com toda a confiança poderei dizer, que se me proibissem o uso destes óleos, me não atreveria a curar as febres malignas, e pestilentes.
1 . – Naõ averá Medico tam falto deciência , que ignore o muito que Galeno , ( i . ) & todos os Doutores ( 2 . ) reprovaô as sangrias nas febres , & doenças , que procedem de crueza , ou enchimento estomago : comtudo naõ sei com que cegueira, ou fado infelice desprezaõ alguns homens os preceitos dos Oraculos da Medicina , mandando sangrar em todas as febres , sem diferença , nem distinção das causas dellas , nem dos temperamentos , ou forças dos doentes ; & o que mais he , que nem queixandose  eles que sentem o estomago pesado ; que tem vontades de vomitar ; que lhes amarga a boca ; & que tem grande fastio ; naõ ; naõ bastaõ todos estes finaes , & reclamos ,  para conhecerem que os taes doentes necessitaõ de ser logo purgados ; mas cega , & inconsideradamente mandaõ logo sangrar , sem embargo que a experiencia 1hes mostra cada dia , que os que se sangraõ tendo os estomagos cheyos , ou morrem na contenda , ou livraõ por milagre .	1. – Não haverá Médico tão falto de ciência, que ignore o muito que Galeno, (i. ) e todos os Doutores (2. ) reprovam as sangrias nas febres, e doenças, que procedem de crueza, ou enchimento estômago: contudo não sei com que cegueira, ou fado infeliz desprezam alguns homens os preceitos dos Oráculos da Medicina, mandando sangrar em todas as febres, sem diferença, nem distinção das causas delas, nem dos temperamentos, ou forças dos doentes; e o que mais é, que nem queixando-se eles que sentem o estômago pesado; que têm vontades de vomitar; que lhes amarga a boca; e que têm grande fastio; não; não bastam todos estes finais, e reclamos, para conhecerem que os tais doentes necessitam de ser logo purgados; mas cega, e inconsideradamente mandam logo sangrar, sem embargo que a experiência lhes mostra cada dia, que os que se sangram tendo os estômagos cheios, ou morrem na contenda, ou livram por milagre.
Aos que tem malignas se lhes deve dar agoa em mais abundancia , principalmente nas horas de comer .	Aos que tem malignas se lhes deve dar água em mais abundância, principalmente nas horas de comer.
Se todos estes remedios naõ forem equivalentes para que o enfermo naõ lance a purga por vomito , estará huma bacia , prompta para a lançar , e se guardará atè que o Medico venha , para lha mandar lançar por ajuda , se lhe parecer conveniente .	Se todos estes remédios não forem equivalentes para que o enfermo não lance a purga por vômito, estará uma bacia, pronta para a lançar, e se guardará até que o Médico venha, para lha mandar lançar por ajuda, se lhe parecer conveniente.
Para a tarde augmenta-se a febre , a tosse he mais viva , mais secca , mais frequente , os escarros sahem com menos facilidade ; se todos estes symptomas durarem por alguns dias , entaõ naõ podem os doentes mais estar deitados de costas , e saõ obrigados a estarem sentados ; o pulso se faz entaõ mais pequeno , mais ligeiro ; o rosto toma huma côr livida , a lingua se faz denegrida , os olhos se põe espantados , elles deliraõ ; a respiraçaõ se faz mais difficultosa de huma hora para a outra , elles estaõ atormentados , e naõ achaõ situaçaõ alguma , que lhe seja boa , finalmente morrem em agonias .	Para a tarde aumenta-se a febre, a tosse é mais viva, mais seca, mais frequente, os escarros saem com menos facilidade; se todos estes sintomas durarem por alguns dias, então não podem os doentes mais estar deitados de costas, e são obrigados a estarem sentados; o pulso se faz então mais pequeno, mais ligeiro; o rosto toma uma cor lívida, a língua se faz denegrida, os olhos se põe espantados, eles deliram; a respiração se faz mais dificultosa de uma hora para a outra, eles estão atormentados, e não acham situação alguma, que lhe seja boa, finalmente morrem em agonias.
COstumaõ os Medicos mandar dar aos enfermos differentes castas de cordiaes , conforme a queixa , que padecem .	Costumam os Médicos mandar dar aos enfermos diferentes castas de cordiais, conforme a queixa, que padecem.
2 . Em vinte & dous de Junho de 1695 . me chamaraõ para curar ao Padre Antonio Barbuda ,  morador na rua dos Cubertos ; tinha o dito enfermo padecido por muitos dias huma febre terçãa continua maligna , acompanhada de symptomas mortaes ; para cujo remedio lhe applicaraõ os Medicos innumeraveis medicamentos ; porèm era a enfermidade de natureza taõ venenosa , & de malicia taõ refinada , que desprezou as diligencias da Arte , & apertou ao doente com taõ grande excesso , que foy necessario ungillo ; neste conflicto fui chamado , ( como sou cada dia , ) & entendendo eu que o meu Bezoartico cordeal lhe avia de aproveitar muito para rebater a qualidade venenosa , & que naõ lhe seria menos util a quinaquina para vencer os paroxismos tercianarios , me atrevi ajuntar estes dous remedios , & darlhos duas vezes no dia , para que com hũa só bebida , & de hum só golpe se degollassem duas enfermidades juntas ; & sem embargo que eu sabia  muito bem que naõ haviaõ de faltar homens , que condemnassem a minha resoluçaõ , & me chamassem temerario , não só porque dava a quinaquina em huma febre , que nem era intermittente , nem entrava com tremor de frio , que saõ os requisitos essencialmente necessarios para dar o tal remedio com acerto , & felicidade ; mas porque ajuntava o Bezoartico com a quinaquina .	2. Em vinte e dois de Junho de 1695. me chamaram para curar ao Padre Antonio Barbuda, morador na rua dos Cubertos; tinha o dito enfermo padecido por muitos dias uma febre terçã contínua maligna, acompanhada de sintomas mortais; para cujo remédio lhe aplicaram os Médicos inumeráveis medicamentos; porém era a enfermidade de natureza tão venenosa, e de malícia tão refinada, que desprezou as diligências da Arte, e apertou ao doente com tão grande excesso, que foi necessário ungi-lo; neste conflito fui chamado, (como sou cada dia,) e entendendo eu que o meu Bezoártico cordial lhe havia de aproveitar muito para rebater a qualidade venenosa, e que não lhe seria menos útil a quinaquina para vencer os paroxismos tercianários, me atrevi ajuntar estes dois remédios, e dar-lhos duas vezes no dia, para que com uma só bebida, e de um só golpe se degolassem duas enfermidades juntas; e sem embargo que eu sabia  muito bem que não haviam de faltar homens, que condenassem a minha resolução, e me chamassem temerário, não só porque dava a quinaquina em uma febre, que nem era intermitente, nem entrava com tremor de frio, que são os requisitos essencialmente necessários para dar o tal remédio com acerto, e felicidade; mas porque ajuntava o Bezoártico com a quinaquina.
Sempre que o enfermo tome a purga , ha de estar em jejum ; e porque ha casos , em que a mandaõ dar de tarde , he preciso tenhaõ passado quatro , ou sinco horas depois de ter comido .	Sempre que o enfermo tome a purga, há de estar em jejum; e porque há casos, em que a mandam dar de tarde, é preciso tenham passado quatro, ou cinco horas depois de ter comido.
Se o enfermo com este limitado fato se affligir , se ha de aliviar delle , ficando de modo , que naõ sinta frio ; e cuberto nesta fórma , se mandará retirar o lume para fóra da casa , e se conservará arroupado por tempo de duas horas , ou o que o Cirurgiaõ determinar , conforme a fraqueza , ou necessidade do enfermo , que quanto mais suar , menos unturas haverá de mister .	Se o enfermo com este limitado fato se afligir, se há de aliviar dele, ficando de modo, que não sinta frio; e coberto nesta forma, se mandará retirar o lume para fora da casa, e se conservará arroupado por tempo de duas horas, ou o que o Cirurgião determinar, conforme a fraqueza, ou necessidade do enfermo, que quanto mais suar, menos unturas haverá de mister.
TOdas as unturas, que se fizerem no peito, seja por causa de pleuriz , empiematico , tisico, asmatico, e na bexiga , se haõ de fazer branda , e suavemente com huma gadelha de lã, e naõ com os dedos por nenhum caso.	Todas as unturas, que se fizerem no peito, seja por causa de pleuris, empiemático, tísico, asmático, e na bexiga, se hão de fazer branda, e suavemente com uma gadelha de lã, e não com os dedos por nenhum caso.
Se o enfermo se abstiver de naõ beber nenhuma , ( como tem feito muitos ) he o remedio mais seguro para sarar da queixa de hydropezia .	Se o enfermo se abstiver de não beber nenhuma, (como têm feito muitos) é o remédio mais seguro para sarar da queixa de hidropisia.
MUito grande deve ser o cuidado , que o Enfermeiro deve ter com a comida , que houver de dar aos enfermos , que estaõ com crescimentos , de qualquer qualidade , que sejaõ , observando a hora , a que principiou , para que no caso que o Medico determine a hora , a que se lhe ha de dar de comer , examine os pulsos do enfermo , e o estado do crescimento primeiro que lhe dem a comida ; porque succede haver incidente , que faz dilatar mais tempo o crescimento , do que o Medico premeditou , e se lhe deve dilatar o comer atè que o enfermo esteja em termos de lhe naõ prejudicar .	Muito grande deve ser o cuidado, que o Enfermeiro deve ter com a comida, que houver de dar aos enfermos, que estão com crescimentos, de qualquer qualidade, que sejam, observando a hora, a que principiou, para que no caso que o Médico determine a hora, a que se lhe há de dar de comer, examine os pulsos do enfermo, e o estado do crescimento primeiro que lhe deem a comida; porque sucede haver incidente, que faz dilatar mais tempo o crescimento, do que o Médico premeditou, e se lhe deve dilatar o comer até que o enfermo esteja em termos de lhe não prejudicar.
Se o banho for pela manha , estará o enfermo em jejum ; e se for de tarde, se fará o banho cinco horas depois de jantar.	Se o banho for pela manha, estará o enfermo em jejum; e se for de tarde, se fará o banho cinco horas depois de jantar.
( Este symptoma he sempre de máo agouro , e os doentes , que o experimentaõ , raras vezes escapaõ das febres malignas . ) Tem agonias de coraçaõ , convulsões nos braços , nas mãos ; todos os seus sentidos parecem entorpecidos ; sua lingua he carregada de huma codea , de hum vermelho escuro ; mas ella he em geral menos secca , menos arida , do que nas outras especies de febre ; algumas vezes , e as mais das vezes nos primeiros dias da doença ella he como no estado de saúde , e naõ se faz secca , e denegrida senaõ lá para o fim ; finalmente alguns tem huma dôr fixa em alguma parte do baixo ventre ; e os cadaveres dos que se tem aberto , e que se tinhaõ queixado deita dôr fixa , tem manefestado , que a parte que esta dôr atacava , estava gangrenada .	(Este sintoma é sempre de mau agouro, e os doentes, que o experimentam, raras vezes escapam das febres malignas.) Tem agonias de coração, convulsões nos braços, nas mãos; todos os seus sentidos parecem entorpecidos; sua língua é carregada de uma côdea, de um vermelho escuro; mas ela é em geral menos seca, menos árida, do que nas outras espécies de febre; algumas vezes, e as mais das vezes nos primeiros dias da doença ela é como no estado de saúde, e não se faz seca, e denegrida senão lá para o fim; finalmente alguns tem uma dor fixa em alguma parte do baixo ventre; e os cadáveres dos que se tem aberto, e que se tinham queixado deita dor fixa, tem manifestado, que a parte que esta dor atacava, estava gangrenada.
Aos enfermos , que tiverem pleuriz , se lhes deve dar pouca , e quente : cozida com escorcioneira , e fria por nenhum caso .	Aos enfermos, que tiverem pleuris, se lhes deve dar pouca, e quente: cozida com escorcioneira, e fria por nenhum caso.
Remedio segundo .	Remédio segundo.
Depois do effeito do vomitorio dar-se-ha cada dia huma porçaõ do remedio do N. 31. , que evacuará as materias nocivas , sem fatigar muito os doentes , impedirá a corrupçaõ , destruirá os vermes , se os houver , fortificará as tripas sem prejudicar ás evacuações necessarias .	Depois do efeito do vomitório dar-se-á cada dia uma porção do remédio do N. 31., que evacuará as matérias nocivas, sem fatigar muito os doentes, impedirá a corrupção, destruirá os vermes, se os houver, fortificará as tripas sem prejudicar às evacuações necessárias.
Sendo de Inverno , lhe poreis junto da cama hum brazeiro com pouco lume , para que se possa conservar quente , recomendando ao enfermo naõ tome mais vezes .	Sendo de Inverno, lhe poreis junto da cama um braseiro com pouco lume, para que se possa conservar quente, recomendando ao enfermo não tome mais vezes.
Ainda que em algumas enfermidades costumaõ variar os remedios , fazendo-se hum primeiro que outro , por serem as enfermidades graves , direy o que he mais ordinario , e commum .	Ainda que em algumas enfermidades costumam variar os remédios, fazendo-se um primeiro que outro, por serem as enfermidades graves, direi o que é mais ordinário, e comum.
Dar de comer aos febricitantes quando deve ser.	Dar de comer aos febricitantes quando deve ser.
Quando estas febres bem tratadas , entaõ seguem ordinariamente huma marcha differente ; a febre persiste cinco para seis dias no primeiro estado , que eu tenho descrito , sem augmentar muito , nem diminuir ; ao setimo começaõ os crescimentos a diminuir ; a lingua se vai limpando de hum dia para outro ; e a doença termina-se dos onze para os quatorze por descargas de ventre .	Quando estas febres bem tratadas, então seguem ordinariamente uma marcha diferente; a febre persiste cinco para seis dias no primeiro estado, que eu tenho descrito, sem aumentar muito, nem diminuir; ao sétimo começam os crescimentos a diminuir; a língua se vai limpando de um dia para outro; e a doença termina-se dos onze para os quatorze por descargas de ventre.
Se estes emplastros naõ procuraõ logo o effeito desejado , he precizo sem mais demora tira-los , e pôr em seu lugar o das cantharidas N.º 24.	Se estes emplastros não procuram logo o efeito desejado, é preciso sem mais demora tirá-los, e pôr em seu lugar o das cantarias N.º 24.
8 . O terceiro Author , que tambem acredita muito os pombos nas doenças malignas , he Joaõ Ferreira da Rosa , dizendo as palavras seguintes : Entre os remedios revulsorios , naõ he de menos utilidade o uso dos pombos abertos , & postos nas plantas dos pès com todo o seu calor natural , conservando-os tres horas , & repetindo-os & o que delles experimento he , que raras vezes se applicaõ , sem conhecer com elles muito alivio ; & entendo ~q os taes pombos recebem em si muito vicio da doença , porque se tem experimentado naõ os quererem comer os cães , nem os gatos , & exhalarem de si intoleravel fedor : sendo ~q em tres horas que estaõ postos nos pès , naõ parece tempo bastante para que se levantasse nelles aquella podridaõ , senaõ recebèraõ em si os vapores pestilentes dos humores podres , pelos quaes se dispoem em breves horas para a corrupçaõ .	8. O terceiro Autor, que também acredita muito os pombos nas doenças malignas, é João Ferreira da Rosa, dizendo as palavras seguintes: Entre os remédios revulsórios, não é de menos utilidade o uso dos pombos abertos, e postos nas plantas dos pés com todo o seu calor natural, conservando-os três horas, e repetindo-os e o que deles experimento é, que raras vezes se aplicam, sem conhecer com eles muito alivio; e entendo que os tais pombos recebem em si muito vício da doença, porque se tem experimentado não os quererem comer os cães, nem os gatos, e exalarem de si intolerável fedor: sendo que em três horas que estão postos nos pés, não parece tempo bastante para que se levantasse neles aquela podridão, senão receberam em si os vapores pestilentos dos humores podres, pelos quais se dispõem em breves horas para a corrupção.
Raspar , e humedecer a lingua a hum enfermo como se deve fazer com acerto .	Raspar, e humedecer a língua a um enfermo como se deve fazer com acerto.
O primeiro he Romberto Dodoneu , o qual fallando dos pombos diz as seguintes palavras : Hum pombo vivo escalado pelas costas, & logo com o mesmo sangue , & a toda a pressa atado nas solas dos pès , naõ só impede que os vapores malignos subaõ à cabeça , mas chama , & attrahe para baixo os que jà tem subido a ella , & deste modo vence grandissimas dores de cabeça , & aplaca os delirios , como as experiencias o mostraraõ .	O primeiro é Romberto Dodoneu, o qual falando dos pombos diz as seguintes palavras: um pombo vivo escalado pelas costas, e logo com o mesmo sangue, e a toda a pressa atado nas solas dos pés, não só impede que os vapores malignos subam à cabeça, mas chama, e atrai para baixo os que já tem subido a ela, e deste modo vence grandíssimas dores de cabeça, e aplaca os delírios, como as experiências o mostraram.
Nos principios do pleuriz eu me tenho muitas vezes achado satisfeito da applicaçaõ do emplastro N.º 10.	Nos princípios do Pleuris eu me tenho muitas vezes achado satisfeito da aplicação do emplastro N.º 10.
Se no tempo da convalescença se naõ restabelecer a vontade de comer , se o doente tiver trabalho em recobrar suas forças , isto he huma prova de que ainda lhe resta hum fermento de materias podres nas primeiras vias ; repetir-se-ha pois o laxante do N. 14. , e no dia seguinte pela manhã tomará o doente huma oitava de boa quina em pó , e comerá logo immediatamente huma sopa ; o que irá continuando por tres dias seguidos , ou hum dia fim outro naõ .	Se no tempo da convalescença se não restabelecer a vontade de comer, se o doente tiver trabalho em recobrar suas forças, isto é uma prova de que ainda lhe resta um fermento de matérias podres nas primeiras vias; repetir-se-á pois o laxante do N. 14., e no dia seguinte pela manhã tomará o doente uma oitava de boa quina em pó, e comerá logo imediatamente uma sopa; o que irá continuando por três dias seguidos, ou um dia sim outro não.
Em todo o decurso da peripneumonia devem-se applicar continuamente sobre o peito pedaços de pannos , ou barretes de lã , de que se servem os Marinheiros , ensopados no cozimento emolliente do N.º 4 .	Em todo o decurso da peripneumonia devem-se aplicar continuamente sobre o peito pedaços de panos, ou barretes de lã, de que se servem os Marinheiros, ensopados no cozimento emoliente do N.º 4.
Pedra bazar como se ha de dar .	Pedra bazar como se há de dar.
Porèm como as veas estivessem sem vicio , por isso multiplicadas as sangrias , & retrahidas por ellas as cruezas do estomago , cahio em huma enfermidade mortal .	Porém como as veias estivessem sem vício, por isso multiplicadas as sangrias, e retraídas por elas as cruezas do estômago, caiu em uma enfermidade mortal.
PAra o unguento estar bom , e obrar bem , ha de estar feito ao menos seis mezes antes primeiro que se use delle .	Para o unguento estar bom, e obrar bem, há de estar feito ao menos seis meses antes primeiro que se use dele.
Agoa cozida com erva doce , bebida quente , tambem he muy provocativa .	Água cozida com erva doce, bebida quente, também é muito provocativa.
saõ as causas ordinarias desta doença ; em consequencia destas causas , e de muitas outras da mesma especie , demora-se o sangue nos pequenos vasos do bofe ; o maior , ou menor espaço , que elle occupa , faz esta doença mais , ou menos perigosa .	são as causas ordinárias desta doença; em consequência destas causas, e de muitas outras da mesma espécie, demora-se o sangue nos pequenos vasos do bofe; o maior, ou menor espaço, que ele ocupa, faz esta doença mais, ou menos perigosa.
( Vède a formula, ou receita do N.º 24. ) .	(Vede a fórmula, ou receita do N.º 24.).
Eu tambem me tenho achado muito bem em similhantes circunstancias , com o deitar hum grão de tartaro emetico em tres , ou quatro libras de agoa , e fazer beber ao doente esta , agoa assim preparada em ar de vomitotio , tomada em forma de tisana .	Eu também me tenho achado muito bem em semelhantes circunstâncias, com o deitar um grão de tártaro emético em três, ou quatro libras de água, e fazer beber ao doente esta água assim preparada em ar de vomitório, tomada em forma de tisana.
Metter os pés em agoa bem quente , quanto o enfermo possa soffrer, tempo bastante .	Meter os pés em água bem quente, quanto o enfermo possa sofrer, tempo bastante.
que costumaõ sobrevir de repente ; e importa mais à vida do enfermo suspender a purga , que o dar-lha ; e neste caso de suspender a purga , dirá o Enfermeiro ao Medico , assim que chegar , a razaõ , que teve para o fazer .	que costumam sobrevir de repente; e importa mais à vida do enfermo suspender a purga, que o dar-lha; e neste caso de suspender a purga, dirá o Enfermeiro ao Médico, assim que chegar, a razão, que teve para o fazer.
POrque em muitas febres costumaõ vir algumas vezes suores , que em alguns enfermos terminaõ bem , e em outros mal , pela boa , ou má qualidade delles ; he muito preciso que o Enfermeiro para os remediar , e suspender , ou para os ajudar a suar mais , tenha conhecimento delles .	Porque em muitas febres costumam vir algumas vezes suores, que em alguns enfermos terminam bem, e em outros mal, pela boa, ou má qualidade deles; é muito preciso que o Enfermeiro para os remediar, e suspender, ou para os ajudar a suar mais, tenha conhecimento deles.
Aos enfermos , que estiverem delirantes , fareis a cabeceira alta , que como os humores estaõ propendendo para a cabeça , se augmenta a queixa , estando baixa , e está mais disposta para receber a malignidade da doença .	Aos enfermos, que estiverem delirantes, fareis a cabeceira alta, que como os humores estão propendendo para a cabeça, se aumenta a queixa, estando baixa, e está mais disposta para receber a malignidade da doença.
